key,Category,en,es
weap_dark_pact_name,Weapon,Dark Pact,
weap_dark_pact_desc,Weapon,A curse on life itself that crumbles flesh to dust,
weap_iron_bow_desc,Weapon,A reliable bow with okay accuracy and okay Attack. Range 2-3,
weap_iron_bow_name,Weapon,Iron Bow,
weap_iron_sword_desc,Weapon,A reliable blade with high accuracy but low Attack. Range 1,
weap_iron_sword_name,Weapon,Iron Sword,
weap_magic_bolt_desc,Weapon,A more advanced magic blast with lower accuracy but good SpAttack. Range 1-2,
weap_magic_bolt_name,Weapon,Magic Bolt,
weap_mana_bolt_desc,Weapon,A weaker tome of magic. Range 1-2,
weap_mana_bolt_name,Weapon,Mana Bolt,
weap_steel_bow_desc,Weapon,"A more difficult to use bow, with decent accuracy and okay Attack. Range 2-3",
weap_steel_bow_name,Weapon,Steel Bow,
weap_steel_sword_desc,Weapon,"A more difficult to use sword, with lower accuracy but good Attack. Range 1",
weap_steel_sword_name,Weapon,Steel Sword,
weap_wolf_tooth_desc,Weapon,Dangerous teeth used for biting. Range 1,
weap_wolf_tooth_name,Weapon,Wolf Bite,
weap_zombie_claw_desc,Weapon,Sharp deteriorating claws that cut. Range 1,
weap_zombie_claw_name,Weapon,Zombie Claw,
unit_adolescentwolf_desc,Unit,A young wolf not yet in its prime,
unit_adolescentwolf_name,Unit,Adolescent Wolf,
unit_adultwolf_desc,Unit,A terratorial hunting beast,
unit_adultwolf_name,Unit,Wolf,
unit_adultzolf_desc,Unit,"It has a couple of extra limbs, and teeth... everywhere",
unit_adultzolf_name,Unit,Zolf Chimera,
unit_archer_desc,Unit,"A crackshot with higher skill, but low defense and lower Attack",
unit_archer_name,Unit,Elven Archer,
unit_corpsechimera_desc,Unit,A stiched together mass of dead human and wolf bodies. It shudders with dark magics,
unit_corpsechimera_name,Unit,Corpse Chimera,
unit_darkmage_desc,Unit,"A user of black magics, with okay SpAttack but a higher Defense for scrapping",
unit_darkmage_name,Unit,Dark Mage,
unit_elementalmage_desc,Unit,A user of nature magic with high SpAttack but low Defense and SpDefense,
unit_elementalmage_name,Unit,Elemental Mage,
unit_lightmage_desc,Unit,"Studier of holy arts, Light Mages can heal allies but have low agressive and defensive stats",
unit_lightmage_name,Unit,Light Mage,
unit_mercenary_desc,Unit,A scrapper on the battlefield with high Health and okay Attack. Good for tanking.,
unit_mercenary_name,Unit,Mercenary,
unit_prizedbuck_desc,Unit,A deer with an enchanted white coat. It'd be worth it to hunt it for its hide.,
unit_prizedbuck_name,Unit,Prized Buck,
unit_wildnecromancer_desc,Unit,Stories of Wild Mage's gone mad in search for power are reoccuring characters in cautionary tales.,
unit_wildnecromancer_name,Unit,Wild Mage,
unit_wolfmother_desc,Unit,A ferocious matriarch of the pack. She's extremely protective of her cubs.,
unit_wolfmother_name,Unit,Wolf Mother,
unit_wolfpup_desc,Unit,Couldn't be older than a month or two,
unit_wolfpup_name,Unit,Wolf Pup,
unit_zolf_desc,Unit,Torn flesh hangs off of this undead wolf,
unit_zolf_name,Unit,Zolf,
unit_zombie_desc,Unit,A shambling corpse with low stats,
unit_zombie_name,Unit,Zombie,
ui_health,UI,Health,
ui_level_num,UI,Level {NUM},
ui_level_num_short,UI,LvL {NUM},
ui_range_amount,UI,{MIN} to {MAX} Tiles,
ui_range_directional,UI,Directional,
ui_select_an_ability,UI,Select an Ability to Unlock:,
ui_statblock_label_large,UI,{TEXT} - {VALUE},
ui_num,UI,{NUM},
ui_current_max,UI,{CUR}/{MAX},
tact_gauze_desc,Tactical,Use: Heals the user 10 HP,
tact_gauze_name,Tactical,Petty Gauze,
stat_attack,Stat,Attack,
stat_attack_desc,Stat,Increases Physical Damage dealt to Enemies,
stat_attack_short,Stat,ATK,
stat_defense,Stat,Defense,
stat_defense_desc,Stat,Decreases Physical Damage taken from Enemies,
stat_defense_short,Stat,DEF,
stat_health,Stat,Health,
stat_health_desc,Stat,How much Damage a Unit can take before they die,
stat_health_short,Stat,HP,
stat_luck,Stat,Luck,
stat_luck_desc,Stat,TBD,
stat_luck_short,Stat,LCK,
stat_mind,Stat,Mind,
stat_mind_desc,Stat,"Increases Max Focus, which is used to cast Abilities",
stat_mind_short,Stat,MND,
stat_movement,Stat,Movement,
stat_movement_desc,Stat,How many Tiles can a Unit Move during their turn,
stat_movement_short,Stat,MOV,
stat_skill,Stat,Skill,
stat_skill_desc,Stat,Increases the chance to hit an Enemy,
stat_skill_short,Stat,SKL,
stat_spattack,Stat,Special Attack,
stat_spattack_desc,Stat,Increases Magical Damage dealt to Enemies,
stat_spattack_short,Stat,SpATK,
stat_spdefense,Stat,Special Defense,
stat_spdefense_desc,Stat,Decreases Magical Damage taken from Enemies,
stat_spdefense_short,Stat,SpDEF,
stat_vitality,Stat,Vitality,
stat_vitality_desc,Stat,Increases Health,
stat_vitality_short,Stat,VIT,
opoj_any_neutral_alive,Optional Objective,Any Neutral Unit left Alive,
opoj_prized_buck,Optional Objective,Kill the Prized Buck,
item_t1_holywater_desc,Item,Use: +2 SpDefense,
item_t1_holywater_name,Item,Holy Tears,
item_t1_ktome_desc,Item,Use: +2 SpAttack,
item_t1_ktome_name,Item,Tome,
item_t1_nectar_desc,Item,Use: +4 Vitality,
item_t1_nectar_name,Item,Golden Apple,
item_t1_polish_desc,Item,Use: +2 Defense,
item_t1_polish_name,Item,Armor Polish,
item_t1_skillbook_desc,Item,Use: +2 Skill,
item_t1_skillbook_name,Item,Cufflinks,
item_t1_whetstone_desc,Item,Use: +2 Attack,
item_t1_whetstone_name,Item,Whetstone,
des_canine_desc,Descriptor,A slim dog-like creature with sharp teeth,
des_canine_name,Descriptor,Canine,
des_undead_desc,Descriptor,A dead creature that's been reanimated through magic.,
des_undead_name,Descriptor,Undead,
ce_armor,Combat Effect,Armor,
ce_armor_desc,Combat Effect,"This Unit has temporary Armor. When they take damage, Armor is reduced before Health.",
ce_def_down,Combat Effect,Def Down,
ce_def_down_desc,Combat Effect,This Unit has had their Defense reduced and will take more damage from Physical attacks,
ce_spdef_down,Combat Effect,SpDef Down,
ce_spdef_down_desc,Combat Effect,This Unit has had their SpDefense reduced and will take more damage from Magic attacks,
ce_stunned,Combat Effect,Stunned,
ce_stunned_desc,Combat Effect,This Unit is stunned and will lose their next turn,
art_beamattack,Ability,Beam Attack!,
